nama,lat,lon,wilayah,sumber
"Please, Please, Please",-6.9045305,107.6199423,Kabupaten Bandung,cafe
180 Coffee and Music,-6.8938137,107.6123099,Kabupaten Bandung,cafe
Le Delice Cafe And Bakery,-6.9248412,107.621374,Kabupaten Bandung,cafe
Nanny's Pavillon,-6.9078484,107.6237768,Kabupaten Bandung,cafe
Ujenk Gemi Bar,-6.9070236,107.6057856,Kabupaten Bandung,cafe
Lacamera Coffee,-6.9206091,107.6154775,Kabupaten Bandung,cafe
N Cafe,-6.8767124,107.5728814,Kabupaten Bandung,cafe
Marfee,-6.9063556,107.6143851,Kabupaten Bandung,coffee_shop
Forest Cafe,-6.8577375,107.6289779,Kabupaten Bandung,cafe
Loco Chiks and Chill,-6.930728,107.6219372,Kabupaten Bandung,cafe
Brussels Spring,-6.9186286,107.6141221,Kabupaten Bandung,cafe
sfroastery,-6.9161264,107.5887671,Kabupaten Bandung,cafe
Armor Coffee,-6.8581757,107.6323803,Kabupaten Bandung,cafe
Aviator Coffee Camp,-6.8616646,107.6484767,Kabupaten Bandung,cafe
The People's Cafe,-6.8901174,107.5960789,Kabupaten Bandung,cafe
Starbucks Reserve,-6.8901104,107.5965612,Kabupaten Bandung,cafe
Djournál,-6.8901004,107.5961777,Kabupaten Bandung,cafe
Caribou Coffee,-6.8886602,107.5960294,Kabupaten Bandung,cafe
Black Canyon,-6.8885606,107.5960266,Kabupaten Bandung,cafe
Halaman,-6.8889259,107.5960428,Kabupaten Bandung,cafe
Rose Bread,-6.961599,107.6246951,Kabupaten Bandung,cafe
Jifast The Power Of Durian,-6.9157346,107.6304829,Kabupaten Bandung,cafe
Tanpa Nama,-7.2155209,107.8993965,Kabupaten Bandung,cafe
Starbucks,-6.8733449,107.6050402,Kabupaten Bandung,cafe
Tanpa Nama,-7.2155298,107.9043943,Kabupaten Bandung,cafe
Starbucks,-6.9064912,107.6170456,Kabupaten Bandung,cafe
Kupansa,-7.1998568,107.8856731,Kabupaten Bandung,cafe
Tanpa Nama,-7.1998035,107.8871582,Kabupaten Bandung,cafe
Cafe Latanza,-7.199933,107.885596,Kabupaten Bandung,cafe
Tanpa Nama,-7.2195663,107.900549,Kabupaten Bandung,cafe
Coffee Time IPO,-7.2156785,107.9055211,Kabupaten Bandung,cafe
Tanpa Nama,-7.3028675,107.7599105,Kabupaten Bandung,cafe
Keday Binong,-7.3118451,107.7824828,Kabupaten Bandung,cafe
Coffee Time,-6.93908,107.7458969,Kabupaten Bandung,cafe
La petite corner,-6.9296717,107.6035086,Kabupaten Bandung,cafe
Kopi Toko Djawa,-6.9174934,107.6092599,Kabupaten Bandung,cafe
Art,-6.9171923,107.6093407,Kabupaten Bandung,cafe
Chatime,-6.9169517,107.6089282,Kabupaten Bandung,cafe
J.Co,-6.9144264,107.6966851,Kabupaten Bandung,coffee_shop
Warnet Nur,-6.9165534,107.5889526,Kabupaten Bandung,cafe
Cafe Bali,-6.9136103,107.6292534,Kabupaten Bandung,cafe
Gajua Kopi,-6.9018765,107.60974,Kabupaten Bandung,cafe
Tiga Outdoor Cafe,-6.8949433,107.6162456,Kabupaten Bandung,cafe
Kopi Siologi,-6.8868433,107.6266658,Kabupaten Bandung,cafe
The Valley,-6.8629017,107.6301376,Kabupaten Bandung,cafe
Kebon Awi,-6.8615968,107.6321809,Kabupaten Bandung,cafe
Fashion Pasta,-6.8586541,107.6373118,Kabupaten Bandung,cafe
Lisung,-6.8588451,107.6374225,Kabupaten Bandung,cafe
Warung Taru,-6.8657012,107.6213081,Kabupaten Bandung,cafe
The Goodlife,-6.8813092,107.5826337,Kabupaten Bandung,cafe
Kopi Sepuluh,-6.9059425,107.6191508,Kabupaten Bandung,cafe
Studio Rosid,-6.8828312,107.6291989,Kabupaten Bandung,coffee_shop
Kumis Kopi,-6.8643717,107.6236411,Kabupaten Bandung,coffee_shop
Chatime,-6.9062428,107.5978201,Kabupaten Bandung,cafe
Chiba,-6.9097811,107.5969413,Kabupaten Bandung,cafe
Tanpa Nama,-7.2074507,107.9029295,Kabupaten Bandung,cafe
Yumaju Coffee,-6.9015702,107.613618,Kabupaten Bandung,coffee_shop
Jardin,-6.9054216,107.6202311,Kabupaten Bandung,cafe
Gesa Kopi,-6.9026206,107.6190522,Kabupaten Bandung,coffee_shop
Dono Reborn,-6.8924838,107.6251253,Kabupaten Bandung,cafe
Baso Aci Ciwang 88,-6.9071388,107.6180169,Kabupaten Bandung,cafe
Gg Coffee,-6.9468245,107.7727304,Kabupaten Bandung,cafe
Majelis Kopi,-7.0017718,107.748894,Kabupaten Bandung,cafe
Surya Moeda Kopi,-6.9415528,107.7803959,Kabupaten Bandung,cafe
Kedai Garasi74,-7.0217224,107.6089649,Kabupaten Bandung,cafe
Masagi Coffee,-6.8686861,107.6065263,Kabupaten Bandung,cafe
Kuro Coffee,-6.8711062,107.6056926,Kabupaten Bandung,cafe
Kopipi,-6.9032558,107.6139508,Kabupaten Bandung,cafe
Jenderal Kopi Nusantara Buwas coffee,-6.9140252,107.6297763,Kabupaten Bandung,cafe
Tanpa Nama,-6.8840587,107.6177097,Kabupaten Bandung,cafe
Ngopo Doeloe Sangkurian,-6.8840265,107.6116969,Kabupaten Bandung,cafe
Joomba,-6.9156712,107.6418632,Kabupaten Bandung,cafe
Joh-Eun Keopi,-6.9160279,107.6407122,Kabupaten Bandung,cafe
Mixue,-6.9182851,107.6094729,Kabupaten Bandung,cafe
Dragonstorm Soreang,-7.0185963,107.5487402,Kabupaten Bandung,cafe
WARUNG CLICKSQUARE,-6.9107304,107.6329394,Kabupaten Bandung,cafe
otto iskandardinata 305,-6.9248453,107.6039702,Kabupaten Bandung,cafe
Kopi Kenangan,-6.92656,107.7105623,Kabupaten Bandung,cafe
M Coffee Company,-6.9487922,107.5625018,Kabupaten Bandung,cafe
Mie Kocok Cililin,-6.9520556,107.4587076,Kabupaten Bandung,cafe
Seaside café,-7.2178417,107.9211634,Kabupaten Bandung,cafe
Mixue,-6.9315299,107.7146477,Kabupaten Bandung,cafe
Warung Kopi Imah Babaturan,-6.8980574,107.607698,Kabupaten Bandung,cafe
Bagi Kopi,-6.8776541,107.6168476,Kabupaten Bandung,cafe
Tanpa Nama,-6.9093416,107.5922661,Kabupaten Bandung,cafe
Tanpa Nama,-6.8855533,107.5955189,Kabupaten Bandung,cafe
Point Coffee,-6.9453718,107.6304886,Kabupaten Bandung,cafe
Fore Coffee,-6.9410924,107.6268912,Kabupaten Bandung,cafe
Kopi Kenangan,-6.9411448,107.6270712,Kabupaten Bandung,cafe
Chatime,-6.9398319,107.625775,Kabupaten Bandung,cafe
Djawa,-6.9393958,107.6253031,Kabupaten Bandung,coffee_shop
Tanpa Nama,-6.9160953,107.6678117,Kabupaten Bandung,cafe
Starbucks,-6.9158532,107.5944292,Kabupaten Bandung,cafe
Mixue,-6.9667086,107.6386485,Kabupaten Bandung,cafe
Janji Jiwa,-6.9667087,107.6384718,Kabupaten Bandung,cafe
Chatime,-6.9661903,107.6380992,Kabupaten Bandung,cafe
Tanpa Nama,-6.9161426,107.6101371,Kabupaten Bandung,cafe
Starbucks,-6.9342083,107.7708913,Kabupaten Bandung,cafe
Point Coffee,-6.9293268,107.6383175,Kabupaten Bandung,cafe
Chatime,-6.9011192,107.6117927,Kabupaten Bandung,cafe
Kopi Kenangan,-6.8936026,107.6051072,Kabupaten Bandung,cafe
Garden Coffee,-6.9130481,107.6326629,Kabupaten Bandung,cafe
Kofu,-6.9024399,107.6217955,Kabupaten Bandung,cafe
Starbucks,-6.9063298,107.5977616,Kabupaten Bandung,cafe
Eiger Coffee,-6.9052076,107.6045701,Kabupaten Bandung,cafe
Mixue,-6.9237589,107.617037,Kabupaten Bandung,cafe
Point Coffee,-6.9241793,107.6201345,Kabupaten Bandung,cafe
Kamasan,-6.9072927,107.6158218,Kabupaten Bandung,cafe
Bright Cafe,-6.8902542,107.6127312,Kabupaten Bandung,cafe
Bagi Kopi,-6.8856493,107.5383468,Kabupaten Bandung,coffee_shop
Starbucks,-6.8991191,107.6211357,Kabupaten Bandung,cafe
TOMORO Coffee,-6.8687202,107.5320155,Kabupaten Bandung,cafe
Broy.co,-6.9217662,107.6727307,Kabupaten Bandung,cafe
Kopi Kenangan,-6.8949076,107.5887755,Kabupaten Bandung,cafe
Kozi x Marawa,-6.8821567,107.6139604,Kabupaten Bandung,cafe
Starbucks,-6.9552303,107.6967913,Kabupaten Bandung,cafe
Excelso,-6.9551464,107.6972339,Kabupaten Bandung,cafe
J.Co,-6.9547817,107.6974504,Kabupaten Bandung,cafe
Kenangan Signature,-6.9542561,107.6982999,Kabupaten Bandung,cafe
Dear Clio,-6.9540125,107.6985746,Kabupaten Bandung,cafe
Kopi Kenangan,-6.907439,107.6089496,Kabupaten Bandung,cafe
Kopi Kenangan,-6.8683437,107.4669942,Kabupaten Bandung,cafe
Saraga Coffee,-6.8766336,107.6234896,Kabupaten Bandung,cafe
Chatime,-6.8755511,107.6042704,Kabupaten Bandung,cafe
Kopi Kenangan,-6.8756006,107.6042621,Kabupaten Bandung,cafe
Kopi Kenangan,-6.9183441,107.6182166,Kabupaten Bandung,cafe
Point Coffee,-6.9170677,107.6178618,Kabupaten Bandung,cafe
Maxx Coffee,-6.9136374,107.6023798,Kabupaten Bandung,cafe
Kopi Kenangan,-6.9069669,107.6133478,Kabupaten Bandung,cafe
Point Coffee,-6.9086249,107.6149449,Kabupaten Bandung,cafe
Kopi Kenangan,-6.9235043,107.6058278,Kabupaten Bandung,cafe
Bento Kopi,-6.9263544,107.7051584,Kabupaten Bandung,cafe
Point Coffee,-6.9358851,107.7652076,Kabupaten Bandung,cafe
Nice coffee shop,-7.0298168,107.5096382,Kabupaten Bandung,coffee_shop
Maxx Coffee,-6.9087306,107.6109311,Kabupaten Bandung,cafe
Chatime,-6.9088052,107.6112583,Kabupaten Bandung,cafe
Xing Fu Tang,-6.9088105,107.6114756,Kabupaten Bandung,cafe
Fore Coffee,-6.9086534,107.6113254,Kabupaten Bandung,cafe
TOMORO Coffee,-6.9089357,107.6112758,Kabupaten Bandung,cafe
Point Coffee,-6.9137299,107.6027866,Kabupaten Bandung,cafe
J.Co,-6.9261792,107.6367581,Kabupaten Bandung,cafe
The Coffee Bean,-6.926126,107.6365703,Kabupaten Bandung,cafe
Fore Coffee,-6.9261073,107.6362726,Kabupaten Bandung,cafe
Kopi Guyu,-6.9252899,107.6369539,Kabupaten Bandung,cafe
KOI The,-6.9258118,107.636632,Kabupaten Bandung,cafe
Gulu Gulu,-6.9256946,107.6369002,Kabupaten Bandung,cafe
Chatime,-6.9080783,107.6089945,Kabupaten Bandung,cafe
Mixue,-6.9077481,107.6089409,Kabupaten Bandung,cafe
Coffee Dreams,-6.9080543,107.6088041,Kabupaten Bandung,cafe
Bean Spot,-6.934669,107.6126719,Kabupaten Bandung,cafe
Bean Spot,-6.9305899,107.6158027,Kabupaten Bandung,cafe
Es Teh Indonesia,-6.9299948,107.6159549,Kabupaten Bandung,cafe
Korner,-6.930068,107.6158972,Kabupaten Bandung,cafe
Jala Kopi,-6.9222099,107.6174482,Kabupaten Bandung,cafe
Kedai Kopi Oh,-6.9182591,107.6182294,Kabupaten Bandung,cafe
Tel-U Coffee,-6.9729145,107.6298675,Kabupaten Bandung,cafe
Bean Spot,-6.9385433,107.6240548,Kabupaten Bandung,cafe
Kopi Soe,-6.8895732,107.5957994,Kabupaten Bandung,cafe
CGV Cafe,-6.8881792,107.5960006,Kabupaten Bandung,cafe
Kopi Kenangan,-6.8904932,107.5962339,Kabupaten Bandung,cafe
Janji Jiwa,-6.8901338,107.596364,Kabupaten Bandung,cafe
Kopi Lay,-6.8893096,107.596132,Kabupaten Bandung,cafe
Fore Coffee,-6.8884167,107.5962458,Kabupaten Bandung,cafe
Chatime,-6.9057311,107.5971955,Kabupaten Bandung,cafe
Kupi Pass,-6.8981169,107.5968488,Kabupaten Bandung,cafe
Otten Coffee,-6.9014214,107.5976649,Kabupaten Bandung,cafe
Janji Jiwa,-6.9057404,107.5969756,Kabupaten Bandung,cafe
Ganefo,-6.9213245,107.618971,Kabupaten Bandung,cafe
Point Coffee,-6.9191878,107.6240437,Kabupaten Bandung,cafe
Non Kitchen Coffee,-6.922132,107.6181697,Kabupaten Bandung,cafe
Chatime,-6.9237935,107.6059891,Kabupaten Bandung,cafe
Dunkin Donuts,-6.945204,107.5953253,Kabupaten Bandung,cafe
Fruity,-6.9229907,107.6049753,Kabupaten Bandung,cafe
Janji Jiwa,-6.9226965,107.6048411,Kabupaten Bandung,cafe
Pa Oyen,-6.9230413,107.6048908,Kabupaten Bandung,cafe
Kimiku,-6.9229215,107.6049189,Kabupaten Bandung,cafe
Chatime,-6.9228323,107.6052207,Kabupaten Bandung,cafe
Puyo,-6.9230826,107.6048143,Kabupaten Bandung,cafe
Gulu Gulu,-6.9230346,107.6048197,Kabupaten Bandung,cafe
Point Coffee,-6.930088,107.6035886,Kabupaten Bandung,cafe
Korner,-6.9214217,107.6100741,Kabupaten Bandung,cafe
Bean Spot,-6.917025,107.6083052,Kabupaten Bandung,cafe
Bahagia Kopi,-6.9181992,107.6094452,Kabupaten Bandung,cafe
Mixue,-6.9214803,107.6087008,Kabupaten Bandung,cafe
Janji Jiwa,-6.9172247,107.608607,Kabupaten Bandung,cafe
Flash Coffee,-6.9171821,107.6087317,Kabupaten Bandung,cafe
Korner,-6.9158827,107.6090844,Kabupaten Bandung,cafe
Shooters Pool & Cafe,-6.9157469,107.6088571,Kabupaten Bandung,cafe
Why Not?,-6.9181054,107.6095813,Kabupaten Bandung,cafe
Goedang Kopi Braga,-6.9205344,107.6098582,Kabupaten Bandung,cafe
Kopi Toko Djawa,-6.9172487,107.608379,Kabupaten Bandung,cafe
Jabarano Coffee,-6.9201483,107.6098461,Kabupaten Bandung,cafe
Suis Butcher,-6.9189781,107.6096597,Kabupaten Bandung,cafe
Bean Spot,-6.9163094,107.6082294,Kabupaten Bandung,cafe
Korner,-6.9208865,107.6058892,Kabupaten Bandung,cafe
Jiwa Toast,-6.9170396,107.6086271,Kabupaten Bandung,cafe
Warung Kopi Limarasa,-6.9184282,107.6096812,Kabupaten Bandung,cafe
Freezh,-6.9181387,107.6095866,Kabupaten Bandung,cafe
MyLoc Coffee,-6.9167108,107.6090294,Kabupaten Bandung,cafe
Korner,-6.9196038,107.6098227,Kabupaten Bandung,cafe
Gas Inc Coffee& Gelato,-6.9182265,107.6096222,Kabupaten Bandung,cafe
18 Coffee & Brew,-6.916796,107.6090569,Kabupaten Bandung,cafe
Xiyue,-6.8929457,107.6054862,Kabupaten Bandung,cafe
Kelapa Mueda,-6.892967,107.6056096,Kabupaten Bandung,cafe
Es Teh Nusantara,-6.8938431,107.6055559,Kabupaten Bandung,cafe
Sour Sally,-6.8931774,107.6057169,Kabupaten Bandung,cafe
Tong Tji Express,-6.8935395,107.6052113,Kabupaten Bandung,cafe
Puyo,-6.8936633,107.6057263,Kabupaten Bandung,cafe
J.CO Donuts & Coffee,-6.8934543,107.6059368,Kabupaten Bandung,cafe
Mochi Mochi,-6.8938151,107.6054902,Kabupaten Bandung,cafe
Upnormal Coffee Roasters,-6.8994802,107.6043275,Kabupaten Bandung,cafe
Fore Coffee,-6.8936474,107.6053038,Kabupaten Bandung,cafe
Kopilatinum,-6.8939469,107.6053146,Kabupaten Bandung,cafe
Chatime,-6.8928805,107.6054969,Kabupaten Bandung,cafe
Bean Spot,-6.8980223,107.6038112,Kabupaten Bandung,cafe
Janji Jiwa,-6.8970045,107.6037307,Kabupaten Bandung,cafe
Tanpa Nama,-6.8607502,107.589671,Kabupaten Bandung,cafe
Tous les Jours,-6.8906713,107.5962338,Kabupaten Bandung,cafe
Cafe de Musee,-6.8600609,107.59394,Kabupaten Bandung,cafe
Kopi Kenangan,-6.9557777,107.6973994,Kabupaten Bandung,cafe
Starbucks,-6.8722446,107.5396944,Kabupaten Bandung,cafe
Little Social Space,-6.8815672,107.5788046,Kabupaten Bandung,cafe
TOMORO Coffee,-6.8854024,107.6134807,Kabupaten Bandung,cafe
Point Coffee,-6.8857827,107.6139375,Kabupaten Bandung,cafe
Kopi Kenangan,-6.9667946,107.6388108,Kabupaten Bandung,cafe
Xi Boba,-6.9667935,107.6385967,Kabupaten Bandung,cafe
The Coffee Bean & Tea Leaf,-6.9668766,107.6382542,Kabupaten Bandung,cafe
Sono Creative Space,-6.9348407,107.7687286,Kabupaten Bandung,cafe
Persegi Coffee,-6.8959269,107.6048656,Kabupaten Bandung,cafe
Jati,-6.8741674,107.6046198,Kabupaten Bandung,cafe
MIXUE Ciumbuleuit,-6.873965,107.6045856,Kabupaten Bandung,cafe
Ditokokopi,-6.8794269,107.6032186,Kabupaten Bandung,cafe
Point Coffee,-7.1034,107.8978646,Kabupaten Bandung,cafe
fajarphoria,-6.872039,107.5609056,Kabupaten Bandung,cafe
TUKU - Ambon,-6.9075012,107.6182495,Kabupaten Bandung,cafe
Railway Coffee Station,-6.9144996,107.6058684,Kabupaten Bandung,coffee_shop
Flash Coffee,-6.9468381,107.6413621,Kabupaten Bandung,cafe
Fore Coffee,-6.9463283,107.6411971,Kabupaten Bandung,cafe
Point Coffee,-6.9757466,107.6374751,Kabupaten Bandung,cafe
Kopi Kenangan,-6.9066586,107.6171308,Kabupaten Bandung,cafe
Art Coffee,-6.9171857,107.609343,Kabupaten Bandung,cafe
Wiki Coffe,-6.9160496,107.6091452,Kabupaten Bandung,cafe
flash coffee,-6.9171712,107.6087343,Kabupaten Bandung,cafe
Kopi Toko Djawa,-6.9174913,107.6092602,Kabupaten Bandung,cafe
Bean Spot Cafe,-6.9163066,107.6082247,Kabupaten Bandung,cafe
Flash Coffee,-6.8683437,107.466926,Kabupaten Bandung,cafe
Kopi Kenangan,-6.9236101,107.6278801,Kabupaten Bandung,cafe
Bumi Luhur,-6.8672958,107.4466909,Kabupaten Bandung,cafe
Toebroek Coffee,-6.8831467,107.5860352,Kabupaten Bandung,cafe
Temu Roti,-6.8764579,107.6232361,Kabupaten Bandung,cafe
Point Coffee,-6.9155748,107.6156562,Kabupaten Bandung,cafe
Tanpa Nama,-6.9368383,107.6846021,Kabupaten Bandung,cafe
TOMORO Coffee,-6.9631574,107.5621306,Kabupaten Bandung,cafe
Kopi Kenangan,-6.9633607,107.5624988,Kabupaten Bandung,cafe
Rooftop Coffee 1896,-6.9069845,107.6039968,Kabupaten Bandung,cafe
Cafe Kavaleri,-6.9254078,107.630143,Kabupaten Bandung,coffee_shop
Warkop Suka Rasa,-6.8876954,107.6154204,Kabupaten Bandung,cafe
Es Coklat Impian Dipati Ukur,-6.8895414,107.6162461,Kabupaten Bandung,cafe
Douwes Dekker Kitchen,-6.8897156,107.6155163,Kabupaten Bandung,cafe
TOMORO Coffee,-6.8880494,107.6152539,Kabupaten Bandung,cafe
Pelagia f&b station,-6.9165847,107.6005901,Kabupaten Bandung,cafe
Double Three,-6.8662684,107.4719828,Kabupaten Bandung,cafe
Photo Coffee,-6.8661106,107.4701029,Kabupaten Bandung,cafe
Canda.coffee,-6.8506881,107.4964765,Kabupaten Bandung,cafe
Kopi Kenangan,-6.8696826,107.535141,Kabupaten Bandung,cafe
Chatime,-6.8856431,107.5542341,Kabupaten Bandung,cafe
Kopi Kenangan,-6.8880054,107.5557692,Kabupaten Bandung,cafe
East Indies,-6.8979085,107.6131797,Kabupaten Bandung,cafe
Point Coffee,-7.0194046,107.8867432,Kabupaten Bandung,cafe
Point Coffee,-6.9594916,107.6996933,Kabupaten Bandung,cafe
Fore Coffee,-6.9090414,107.6109495,Kabupaten Bandung,cafe
Kopi Kenangan,-6.8690585,107.5937257,Kabupaten Bandung,cafe
TOMORO Coffee,-6.8683146,107.4645791,Kabupaten Bandung,cafe
Point Coffee,-6.9578772,107.6947776,Kabupaten Bandung,cafe
ClassiQue,-6.850147,107.5857206,Kabupaten Bandung,cafe
Bean,-6.9596553,107.6986534,Kabupaten Bandung,cafe
The People's Cafe,-6.9552216,107.697204,Kabupaten Bandung,cafe
Fore Coffee,-6.9549358,107.697337,Kabupaten Bandung,cafe
Koat Coffee,-6.94559,107.7056451,Kabupaten Bandung,cafe
Point Coffee,-6.9143573,107.6323363,Kabupaten Bandung,cafe
Cerita di,-6.9035058,107.6041268,Kabupaten Bandung,cafe
Nescafe,-6.886874,107.6233729,Kabupaten Bandung,cafe
Nowala Coffee and Eatery,-6.9166642,107.6167624,Kabupaten Bandung,cafe
Kopi Kenangan,-6.9064704,107.5957325,Kabupaten Bandung,cafe
Roempi Coffee,-6.9124674,107.5987521,Kabupaten Bandung,cafe
Kopitiam 136,-6.9242636,107.6275601,Kabupaten Bandung,cafe
Kozi,-6.9269543,107.6344668,Kabupaten Bandung,cafe
Kopi Celah Kota,-6.9402128,107.6256352,Kabupaten Bandung,cafe
Mixue,-6.9439157,107.7140447,Kabupaten Bandung,cafe
Point Coffee,-6.8650292,107.6261412,Kabupaten Bandung,cafe
Jabarano Coffee,-6.8976206,107.6132661,Kabupaten Bandung,cafe
Kantin FKG,-6.9289002,107.7755265,Kabupaten Bandung,cafe
Kantin FKG,-6.9289058,107.7756213,Kabupaten Bandung,cafe
Choosy Coffe,-6.8696313,107.6202102,Kabupaten Bandung,cafe
Caffein,-7.2007654,107.8991916,Kabupaten Bandung,cafe
Calista Cafe,-6.8644411,107.6278095,Kabupaten Bandung,cafe
