nama,lat,lon,wilayah,sumber,alamat_asli
Fat Bubble,-6.1122505,106.7424658,Kabupaten Bogor,cafe,"Fat Bubble, Jalan Marina Indah, RW 03, Kamal Muara, Penjaringan, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14470, Indonesia"
Tanpa Nama,-6.2117344,106.8211637,Kabupaten Bogor,cafe,"Jalan Jenderal Sudirman, RW 01, Karet, Setiabudi, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Jawa, 10220, Indonesia"
Foresthree,-6.2016475,106.8234352,Kabupaten Bogor,cafe,"Foresthree, Jalan Blora, RW 06, Menteng, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Jawa, 10310, Indonesia"
Roti Bakar Eddy Blok M,-6.2364013,106.7997965,Kabupaten Bogor,cafe,"Roti Bakar Eddy Blok M, 11, Jalan Raden Patah, Blok K, Selong, Kebayoran Baru, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Jawa, 12110, Indonesia"
Roti Bakar Eddy Senayan,-6.2231147,106.8021488,Kabupaten Bogor,cafe,"Roti Bakar Eddy Senayan, Jalan Manila, RW 01, Gelora, Tanah Abang, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Jawa, 10270, Indonesia"
Roti Pisang Bakar Bencongan Indah,-6.2112656,106.6022557,Kabupaten Bogor,cafe,"Roti Pisang Bakar Bencongan Indah, Jalan Gajahmunkur Raya, Tangerang, Kelapa Dua, Kabupaten Tangerang, Banten, Jawa, 15810, Indonesia"
Roti Pisang Bakar (Ropisbak) Ghifari,-6.1973271,106.8862803,Kabupaten Bogor,cafe,"Roti Pisang Bakar (Ropisbak) Ghifari, 25, Jalan Waru Buntu, RW 09, Rawamangun, Pulo Gadung, Jakarta Timur, Daerah Khusus Ibukota Jakarta, Jawa, 13220, Indonesia"
Shisha Cafe,-6.2569063,106.8148066,Kabupaten Bogor,cafe,"Shisha Cafe, 10, Jalan Kemang Raya, RW 01, Bangka, Mampang Prapatan, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Jawa, 12550, Indonesia"
Starbucks,-6.1520673,106.8176352,Kabupaten Bogor,cafe,"Starbucks, Jalan Hayam Wuruk, RW 09, Maphar, Taman Sari, Jakarta Barat, Daerah Khusus Ibukota Jakarta, Jawa, 11160, Indonesia"
Starbucks,-6.175383,106.8122042,Kabupaten Bogor,cafe,"Starbucks, Jalan Cideng Timur, RW 05, Petojo Selatan, Gambir, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Jawa, 10230, Indonesia"
Cafe Batavia,-6.1344159,106.812774,Kabupaten Bogor,cafe,"Cafe Batavia, Taman Fatahillah, RW 06, Pinangsia, Taman Sari, Jakarta Barat, Daerah Khusus Ibukota Jakarta, Jawa, 11110, Indonesia"
Starbucks Ranch Kebon Jeruk,-6.1888433,106.7559204,Kabupaten Bogor,cafe,"Starbucks Ranch Kebon Jeruk, Jalan Haji Nabet, RW 09, Kembangan Selatan, Kembangan, Jakarta Barat, Daerah Khusus Ibukota Jakarta, Jawa, 11610, Indonesia"
Starbucks,-6.1162956,106.7568754,Kabupaten Bogor,cafe,"Starbucks, 1, Jalan Pantai Indah Utara 2, Pantai Indah Kapuk, Kapuk Muara, Penjaringan, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14450, Indonesia"
Junkyard Cafe & Bar,-6.2303606,106.8074979,Kabupaten Bogor,cafe,"Junkyard Cafe & Bar, Jalan Senopati, RW 02, Senayan, Kebayoran Baru, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Jawa, 12190, Indonesia"
Pao Pao Liquor Bar & Dimsum,-6.2296026,106.8042071,Kabupaten Bogor,cafe,"Pao Pao Liquor Bar & Dimsum, Jalan Senopati, RW 02, Senayan, Kebayoran Baru, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Jawa, 12190, Indonesia"
The Cubbyhole Canteen,-6.231402,106.8091969,Kabupaten Bogor,cafe,"The Cubbyhole Canteen, Jalan Senopati, Blok R, Senayan, Kebayoran Baru, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Jawa, 12190, Indonesia"
Kingsman - Hemingway Speakeasy Lounge & Cigar Bar,-6.2329679,106.8117494,Kabupaten Bogor,cafe,"Kingsman - Hemingway Speakeasy Lounge & Cigar Bar, No.92, Jalan Senopati, RW 03, Selong, Kebayoran Baru, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Jawa, 12190, Indonesia"
Miel Ice Cream,-6.2337635,106.8123599,Kabupaten Bogor,cafe,"Miel Ice Cream, No.6, Jalan Suryo Raya, RW 06, Rawa Barat, Kebayoran Baru, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Jawa, 12190, Indonesia"
Mouse Coffee,-6.1594407,106.8193203,Kabupaten Bogor,cafe,"Mouse Coffee, 43, Jalan Hayam Wuruk, RW 02, Maphar, Taman Sari, Jakarta Barat, Daerah Khusus Ibukota Jakarta, Jawa, 11160, Indonesia"
Bikun Coffee,-6.3649986,106.831092,Kabupaten Bogor,cafe,"Bikun Coffee, Jalan Prof. Dr. Sudjono D. Pusponegoro, Pondok Cina, Beji, Depok, Jawa Barat, Jawa, 16424, Indonesia"
Java Aroma Perpustakaan Universitas Indoenesia,-6.365361,106.8297431,Kabupaten Bogor,cafe,"Java Aroma Perpustakaan Universitas Indoenesia, Jalan Prof. Dr. Sudjono D. Pusponegoro, Pondok Cina, Beji, Depok, Jawa Barat, Jawa, 16424, Indonesia"
Maxx Coffee,-6.2615974,106.8125358,Kabupaten Bogor,cafe,"Maxx Coffee, Jalan Kemang Village, RW 05, Bangka, Mampang Prapatan, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Jawa, 12150, Indonesia"
Tanpa Nama,-6.1129305,106.7484644,Kabupaten Bogor,cafe,"Bumbu Moyang, Jalan Marina Indah, Pantai Indah Kapuk, Kamal Muara, Penjaringan, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14470, Indonesia"
Starbucks,-6.1075652,106.7793256,Kabupaten Bogor,cafe,"Starbucks, Jalan Mandala Bahari, RW 10, Pluit, Penjaringan, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14440, Indonesia"
reneka,-6.1272766,106.7914672,Kabupaten Bogor,cafe,"reneka, 1, Jalan Pluit Selatan Raya, RW 08, Penjaringan, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14440, Indonesia"
Starbucks,-6.1274316,106.7912245,Kabupaten Bogor,cafe,"Starbucks, 1, Jalan Pluit Selatan Raya, RW 08, Penjaringan, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14440, Indonesia"
Starbucks,-6.2274939,106.6059956,Kabupaten Bogor,cafe,"Starbucks, Jalan Jenderal Sudirman, Lippo Village, Kelapa Dua, Kabupaten Tangerang, Banten, Jawa, 15811, Indonesia"
Maxx Coffee,-6.2285122,106.606704,Kabupaten Bogor,cafe,"Maxx Coffee, 1110, Jalan Jenderal Sudirman, Lippo Village, Kelapa Dua, Kabupaten Tangerang, Banten, Jawa, 15810, Indonesia"
Cafe Durio,-6.4177153,106.8227519,Kabupaten Bogor,cafe,"Cafe Durio, Jalan Boulevard, Tirtajaya, Depok, Jawa Barat, Jawa, 16439, Indonesia"
Chillowd (warung kopi),-6.286167,106.818914,Kabupaten Bogor,cafe,"Chillowd (warung kopi), Jalan Ampera Raya, RW 06, Ragunan, Pasar Minggu, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Jawa, 12550, Indonesia"
Super Kue,-6.5617881,106.7310791,Kabupaten Bogor,cafe,"Super Kue, Jalan Dramaga - Bubulak, Babakan, Dramaga, Bogor, Jawa Barat, Jawa, 16680, Indonesia"
Tanpa Nama,-6.1114084,106.7380904,Kabupaten Bogor,cafe,"Hello Kitty Cafe, Jalan Pantai Indah Kapuk, RW 03, Kamal Muara, Penjaringan, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14470, Indonesia"
Tanpa Nama,-6.3171389,106.7124672,Kabupaten Bogor,cafe,"Cylo, Jalan Sarua, Serua, Ciputat, Tangerang Selatan, Banten, Jawa, 15414, Indonesia"
Tanpa Nama,-6.2372272,106.6306359,Kabupaten Bogor,cafe,"Happy Puppy Karaoke, Jalan Janur Hijau 1, Paramount Serpong, Gading Serpong, Pakulonan Barat, Kelapa Dua, Kabupaten Tangerang, Banten, Jawa, 15180, Indonesia"
Starbucks,-6.1229121,106.6511594,Kabupaten Bogor,cafe,"Starbucks, Jalan Raya Bandara, Pajang, Benda, Tangerang, Banten, Jawa, 15126, Indonesia"
Luccini,-6.1231169,106.6510362,Kabupaten Bogor,cafe,"Luccini, Jalan Raya Bandara, Pajang, Benda, Tangerang, Banten, Jawa, 15126, Indonesia"
OldTown White Coffee,-6.122367,106.651567,Kabupaten Bogor,cafe,"OldTown White Coffee, Motorcycle way, Pajang, Benda, Tangerang, Banten, Jawa, 15126, Indonesia"
Tanpa Nama,-6.1530503,106.7141157,Kabupaten Bogor,cafe,"Starbucks, Jalan Tanah Lot, RW 17, Kalideres, Jakarta Barat, Daerah Khusus Ibukota Jakarta, Jawa, 11840, Indonesia"
Tanpa Nama,-6.8214677,107.1426426,Kabupaten Bogor,cafe,"Rumah Mantan, Jalan Agus Saleh, Cianjur, Jawa Barat, Jawa, 43212, Indonesia"
OldTown White Coffee,-6.146867,106.8182327,Kabupaten Bogor,cafe,"OldTown White Coffee, Jalan Labu, RW 06, Mangga Besar, Taman Sari, Jakarta Barat, Daerah Khusus Ibukota Jakarta, Jawa, 11180, Indonesia"
Starbucks,-6.1436283,106.8479705,Kabupaten Bogor,cafe,"Starbucks, Jalan Pesanggrahan Raya, PPK Kemayoran, Jakarta International Expo, Pademangan, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14410, Indonesia"
Tanpa Nama,-6.2290692,106.8718068,Kabupaten Bogor,cafe,"David Sodri, Jalan Haji Yahya, RW 07, Cipinang Cempedak, Jatinegara, Jakarta Timur, Daerah Khusus Ibukota Jakarta, Jawa, 13930, Indonesia"
Mezza,-6.2191613,106.8369075,Kabupaten Bogor,cafe,"Mezza, Taman Rasuna Selatan, RW 10, Menteng Atas, Setiabudi, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Jawa, 12960, Indonesia"
La Terrasse,-6.237344,106.870225,Kabupaten Bogor,cafe,"La Terrasse, 1A, Jalan Cipinang Cempedak II, RW 06, Cipinang Cempedak, Jatinegara, Jakarta Timur, Daerah Khusus Ibukota Jakarta, Jawa, 13340, Indonesia"
Tanpa Nama,-6.2030987,106.8318787,Kabupaten Bogor,cafe,"Jalan Salatiga, RW 04, Menteng, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Jawa, 10310, Indonesia"
Tanpa Nama,-6.7043191,106.9702212,Kabupaten Bogor,cafe,"Perkebunan Teh Gunung Mas, Tugu Selatan, Cisarua, Bogor, Jawa Barat, Jawa, 16750, Indonesia"
Tanpa Nama,-6.1353738,106.8128097,Kabupaten Bogor,cafe,"BangiKopitiam, Jalan Pintu Besar Utara, RW 06, Pinangsia, Taman Sari, Jakarta Barat, Daerah Khusus Ibukota Jakarta, Jawa, 11110, Indonesia"
Starbucks,-6.137492,106.8145021,Kabupaten Bogor,cafe,"Starbucks, Jalan Lada, RW 06, Pinangsia, Taman Sari, Jakarta Barat, Daerah Khusus Ibukota Jakarta, Jawa, 11110, Indonesia"
Tanpa Nama,-6.1192703,106.6647585,Kabupaten Bogor,cafe,"Koi, Zona Antar Keberangkatan Terminal 3, Pajang, Benda, Tangerang, Banten, Jawa, 19120, Indonesia"
Tanpa Nama,-6.119825,106.6643812,Kabupaten Bogor,cafe,"Koi, Jalan Raya Bandara, Pajang, Benda, Tangerang, Banten, Jawa, 19120, Indonesia"
Tanpa Nama,-6.1195519,106.6641692,Kabupaten Bogor,cafe,"Mokka Coffee Cabana, Jalan Raya Bandara, Pajang, Benda, Tangerang, Banten, Jawa, 19120, Indonesia"
Krispy Kreme,-6.1182935,106.6662593,Kabupaten Bogor,cafe,"Krispy Kreme, Zona Antar Keberangkatan Terminal 3, Pajang, Benda, Tangerang, Banten, Jawa, 19120, Indonesia"
Tanpa Nama,-6.1187544,106.6651809,Kabupaten Bogor,cafe,"Bakenir, Zona Antar Keberangkatan Terminal 3, Pajang, Benda, Tangerang, Banten, Jawa, 19120, Indonesia"
Old Town White Coffee,-6.1184352,106.6659327,Kabupaten Bogor,cafe,"Old Town White Coffee, Zona Antar Keberangkatan Terminal 3, Pajang, Benda, Tangerang, Banten, Jawa, 19120, Indonesia"
Starbucks,-6.1181208,106.6669433,Kabupaten Bogor,cafe,"Starbucks, Zona Antar Keberangkatan Terminal 3, Pajang, Benda, Tangerang, Banten, Jawa, 19120, Indonesia"
Tanpa Nama,-6.1182439,106.6671912,Kabupaten Bogor,cafe,"Ya Kun Kaja Toast, Zona Antar Keberangkatan Terminal 3, Pajang, Benda, Tangerang, Banten, Jawa, 19120, Indonesia"
Tanpa Nama,-6.1182001,106.6679139,Kabupaten Bogor,cafe,"Bangi Kopi, Zona Antar Keberangkatan Terminal 3, Pajang, Benda, Tangerang, Banten, Jawa, 19120, Indonesia"
Kupi Aceh 88,-6.2964042,106.8408791,Kabupaten Bogor,cafe,"Kupi Aceh 88, Jalan Tanjung Barat, RW 04, Tanjung Barat, Jagakarsa, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Jawa, 12530, Indonesia"
Tanpa Nama,-6.195661,106.828576,Kabupaten Bogor,cafe,"Neighbor, 72, Jalan Haji Oemar Said Cokroaminoto, RW 05, Menteng, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Jawa, 10310, Indonesia"
Tanpa Nama,-6.150518,106.8177081,Kabupaten Bogor,cafe,"置屋, Jalan Kebon Jeruk XIX, RW 09, Maphar, Taman Sari, Jakarta Barat, Daerah Khusus Ibukota Jakarta, Jawa, 11130, Indonesia"
Tanpa Nama,-6.295109,106.7932884,Kabupaten Bogor,cafe,"Warkop Kabita, Jalan Anuraga, RW 04, Cilandak Barat, Cilandak, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Jawa, 12430, Indonesia"
Starbucks,-6.246386,106.7942813,Kabupaten Bogor,cafe,"Starbucks, 56, Jalan Barito II, RW 04, Kramat Pela, Kebayoran Baru, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Jawa, 12130, Indonesia"
The Coffee Bean & Tea Leaf,-6.2626982,106.7882637,Kabupaten Bogor,cafe,"The Coffee Bean & Tea Leaf, Jalan Radio Dalam, RW 15, Gandaria Utara, Kebayoran Baru, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Jawa, 12140, Indonesia"
Anomali Coffee,-6.2627432,106.7842439,Kabupaten Bogor,cafe,"Anomali Coffee, Jalan Margaguna Raya, Pondok Indah, Pondok Pinang, Kebayoran Lama, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Jawa, 12310, Indonesia"
XI Cafe,-6.1225528,106.8908881,Kabupaten Bogor,cafe,"XI Cafe, Jalan Swasembada Timur XI, RW 10, Kebon Bawang, Tanjung Priok, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14320, Indonesia"
Pujasera Kasimura,-6.1508168,106.7319326,Kabupaten Bogor,cafe,"Pujasera Kasimura, Jalan Masjid Nurul Amal, RW 02, Cengkareng Timur, Cengkareng, Jakarta Barat, Daerah Khusus Ibukota Jakarta, Jawa, 16431, Indonesia"
Tanpa Nama,-6.1446583,106.7341133,Kabupaten Bogor,cafe,"Bakso Tahu Pontianak, Jalan Galunggung, RW 10, Cengkareng Timur, Cengkareng, Jakarta Barat, Daerah Khusus Ibukota Jakarta, Jawa, 11730, Indonesia"
Bakso Cah Solo,-6.1509603,106.7307988,Kabupaten Bogor,cafe,"Bakso Cah Solo, Jalan Bangun Nusa III, RW 02, Cengkareng Timur, Cengkareng, Jakarta Barat, Daerah Khusus Ibukota Jakarta, Jawa, 11730, Indonesia"
Tanpa Nama,-6.3963765,106.8193076,Kabupaten Bogor,cafe,"Mie Ayam Bang Toto, Jalan Namin D. Bothin, Depok, Pancoran Mas, Depok, Jawa Barat, Jawa, 16431, Indonesia"
Warteg,-6.1454046,106.7318369,Kabupaten Bogor,cafe,"Warteg, Jalan Fajar Baru Utara, RW 08, Cengkareng Timur, Cengkareng, Jakarta Barat, Daerah Khusus Ibukota Jakarta, Jawa, 16431, Indonesia"
Pecel Lele Lamongan,-6.1511425,106.7312105,Kabupaten Bogor,cafe,"Pecel Lele Lamongan, Jalan Bangun Nusa Raya, RW 02, Cengkareng Timur, Cengkareng, Jakarta Barat, Daerah Khusus Ibukota Jakarta, Jawa, 11730, Indonesia"
Mie Ayam Bakso Tito,-6.3949056,106.8183495,Kabupaten Bogor,cafe,"Mie Ayam Bakso Tito, Jalan Masjid Lio, Depok, Pancoran Mas, Depok, Jawa Barat, Jawa, 16431, Indonesia"
Ayam Bakar Mas Karso,-6.3948463,106.8183555,Kabupaten Bogor,cafe,"Ayam Bakar Mas Karso, Jalan Masjid Lio, Depok, Pancoran Mas, Depok, Jawa Barat, Jawa, 16431, Indonesia"
Warkop Gaul,-6.3935217,106.8204225,Kabupaten Bogor,cafe,"Warkop Gaul, Jalan Namin D. Bothin, Depok, Pancoran Mas, Depok, Jawa Barat, Jawa, 16431, Indonesia"
Warkop Gunung City,-6.3965591,106.8192221,Kabupaten Bogor,cafe,"Warkop Gunung City, Jalan Namin D. Bothin, Depok, Pancoran Mas, Depok, Jawa Barat, Jawa, 16431, Indonesia"
Mie Aceh Serambi,-6.3953038,106.8196573,Kabupaten Bogor,cafe,"Mie Aceh Serambi, Jalan Namin D. Bothin, Depok, Pancoran Mas, Depok, Jawa Barat, Jawa, 16431, Indonesia"
Bakso Rudal Mie Ayam Wonogiri,-6.3988399,106.8175507,Kabupaten Bogor,cafe,"Bakso Rudal Mie Ayam Wonogiri, 16, Jalan Masjid Lio, Depok, Pancoran Mas, Depok, Jawa Barat, Jawa, 16431, Indonesia"
Tanpa Nama,-6.1881878,106.7379651,Kabupaten Bogor,cafe,"Jalan Puri Harum, RW 02, Kembangan Selatan, Kembangan, Jakarta Barat, Daerah Khusus Ibukota Jakarta, Jawa, 11610, Indonesia"
Tanpa Nama,-6.1882891,106.7385231,Kabupaten Bogor,cafe,"Jalan Puri Harum 1, RW 02, Kembangan Selatan, Kembangan, Jakarta Barat, Daerah Khusus Ibukota Jakarta, Jawa, 11610, Indonesia"
Starbucks,-6.1872683,106.7341858,Kabupaten Bogor,cafe,"Starbucks, Puri Agung, RW 02, Kembangan Selatan, Kembangan, Jakarta Barat, Daerah Khusus Ibukota Jakarta, Jawa, 11610, Indonesia"
Tanpa Nama,-6.1876079,106.7342173,Kabupaten Bogor,cafe,"Puri Agung, RW 02, Kembangan Selatan, Kembangan, Jakarta Barat, Daerah Khusus Ibukota Jakarta, Jawa, 11610, Indonesia"
Bakso Wonogiri,-6.1476971,106.7323743,Kabupaten Bogor,cafe,"Bakso Wonogiri, Jalan Masjid Nurul Amal, RW 05, Cengkareng Timur, Cengkareng, Jakarta Barat, Daerah Khusus Ibukota Jakarta, Jawa, 16431, Indonesia"
Mie Ayam Mantili,-6.1478676,106.7323276,Kabupaten Bogor,cafe,"Mie Ayam Mantili, Jalan Masjid Nurul Amal, RW 05, Cengkareng Timur, Cengkareng, Jakarta Barat, Daerah Khusus Ibukota Jakarta, Jawa, 16431, Indonesia"
Warung Bakso Lare Wonogiri,-6.1454663,106.7316964,Kabupaten Bogor,cafe,"Warung Bakso Lare Wonogiri, Jalan Fajar Baru Utara, RW 08, Cengkareng Timur, Cengkareng, Jakarta Barat, Daerah Khusus Ibukota Jakarta, Jawa, 11730, Indonesia"
Bubur Ayam Cengkareng,-6.1513169,106.7310428,Kabupaten Bogor,cafe,"Bubur Ayam Cengkareng, Jalan Nusa Indah I, RW 02, Cengkareng Timur, Cengkareng, Jakarta Barat, Daerah Khusus Ibukota Jakarta, Jawa, 11730, Indonesia"
Geray Cafe,-6.3946102,106.8143171,Kabupaten Bogor,cafe,"Geray Cafe, 292, Nusantara Raya, Depok Jaya, Pancoran Mas, Depok, Jawa Barat, Jawa, 16432, Indonesia"
Bakso Kincir,-6.1474931,106.7320727,Kabupaten Bogor,cafe,"Bakso Kincir, Jalan Kincir Raya, RW 05, Cengkareng Timur, Cengkareng, Jakarta Barat, Daerah Khusus Ibukota Jakarta, Jawa, 11730, Indonesia"
Bakso Kuah & Bakar Moro Seneng,-6.3753782,106.8495719,Kabupaten Bogor,cafe,"Bakso Kuah & Bakar Moro Seneng, Jalan Metro Duta Raya, Tugu, Depok, Jawa Barat, Jawa, 16418, Indonesia"
Warung Edi,-6.3723747,106.8494116,Kabupaten Bogor,cafe,"Warung Edi, Jalan Metro Duta Raya, Tugu, Depok, Jawa Barat, Jawa, 16418, Indonesia"
Warung Soesoe,-6.3724866,106.8494184,Kabupaten Bogor,cafe,"Warung Soesoe, Jalan Metro Duta Raya, Tugu, Depok, Jawa Barat, Jawa, 16418, Indonesia"
Roti Bakar Jangkung,-6.372448,106.8494157,Kabupaten Bogor,cafe,"Roti Bakar Jangkung, Jalan Metro Duta Raya, Tugu, Depok, Jawa Barat, Jawa, 16418, Indonesia"
Temoe Santai,-6.2276088,106.7986514,Kabupaten Bogor,cafe,"Temoe Santai, Jalan Asia Afrika, RW 01, Gelora, Tanah Abang, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Jawa, 10270, Indonesia"
Delico,-6.2311203,106.8277291,Kabupaten Bogor,cafe,"Delico, Kantor Taman Unit A7, Jalan Doktor Ide Anak Agung Gde Agung, Mega Kuningan, Kuningan Timur, Setiabudi, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Jawa, 12950, Indonesia"
Chatime,-6.1739797,106.7881287,Kabupaten Bogor,cafe,"Chatime, Jalan Tanjung Duren Raya, RW 05, Tanjung Duren Selatan, Grogol Petamburan, Jakarta Barat, Daerah Khusus Ibukota Jakarta, Jawa, 11470, Indonesia"
Starbucks,-6.1742387,106.7884592,Kabupaten Bogor,cafe,"Starbucks, Jalan Tanjung Duren Raya, RW 05, Tanjung Duren Selatan, Grogol Petamburan, Jakarta Barat, Daerah Khusus Ibukota Jakarta, Jawa, 11470, Indonesia"
Tanpa Nama,-6.1682139,106.8610612,Kabupaten Bogor,cafe,"OHO Càfé, Jalan Cempaka Baru Tengah, RW 07, Cempaka Baru, Kemayoran, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Jawa, 10640, Indonesia"
Tanpa Nama,-6.1676874,106.7636794,Kabupaten Bogor,cafe,"Lapo Familinta, Jalan Panjang Raya, RW 07, Kedoya Utara, Kebon Jeruk, Jakarta Barat, Daerah Khusus Ibukota Jakarta, Jawa, 11520, Indonesia"
Tanpa Nama,-6.3633382,106.8288329,Kabupaten Bogor,cafe,"Next Door, 1, Jalan Prof. Dr. Nugroho Notosusanto, Pondok Cina, Beji, Depok, Jawa Barat, Jawa, 16424, Indonesia"
Tanpa Nama,-6.1764583,106.7910485,Kabupaten Bogor,cafe,"The People's Cafe, Jalan Podomoro Avenue, RW 05, Tanjung Duren Selatan, Grogol Petamburan, Jakarta Barat, Daerah Khusus Ibukota Jakarta, Jawa, 11440, Indonesia"
Bengawan Solo,-6.2652691,106.8853836,Kabupaten Bogor,cafe,"Bengawan Solo, Jalan Halim Perdanakusuma, RW 11, Halim Perdana Kusuma, Makasar, Jakarta Timur, Daerah Khusus Ibukota Jakarta, Jawa, 13650, Indonesia"
Aa Bakery & Cafe,-6.2490977,106.6722299,Kabupaten Bogor,cafe,"Aa Bakery & Cafe, Pasar Segar Graha Raya Blok RB1 No.28, Jalan Graha Bintaro Raya, Graha Raya, Bintaro Jaya, Serpong Utara, Tangerang Selatan, Banten, Jawa, 15326, Indonesia"
Tanpa Nama,-6.5927619,106.8030735,Kabupaten Bogor,cafe,"picnicroll, Jalan Halimun, Babakan, Bogor Tengah, Bogor, Jawa Barat, Jawa, 16128, Indonesia"
Roti'O,-6.1927676,106.8037369,Kabupaten Bogor,cafe,"Roti'O, 92-94, Jalan Aipda Karel Satsuit Tubun, RW 01, Slipi, Palmerah, Jakarta Barat, Daerah Khusus Ibukota Jakarta, Jawa, 10260, Indonesia"
Tanpa Nama,-6.1481957,106.8268752,Kabupaten Bogor,cafe,"Warunk UPNormal, Jalan Mangga Besar XIII, RW 01, Mangga Dua Selatan, Sawah Besar, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Jawa, 11170, Indonesia"
Tanpa Nama,-6.1498622,106.7800385,Kabupaten Bogor,cafe,"Kopitiam 88, Jalan Kusuma I F, Taman Duta Mas, Wijaya Kusuma, Grogol Petamburan, Jakarta Barat, Daerah Khusus Ibukota Jakarta, Jawa, 11460, Indonesia"
Tanpa Nama,-6.1659002,106.7942845,Kabupaten Bogor,cafe,"Warunk UPNormal, Jalan Dokter Susilo, RW 03, Grogol, Grogol Petamburan, Jakarta Barat, Daerah Khusus Ibukota Jakarta, Jawa, 11450, Indonesia"
Tanpa Nama,-6.3926012,106.8207789,Kabupaten Bogor,cafe,"Bakso Gubuk Mas Jangkung, Jalan Namin D. Bothin, Depok, Pancoran Mas, Depok, Jawa Barat, Jawa, 16432, Indonesia"
Chief,-6.2380914,106.808936,Kabupaten Bogor,cafe,"Chief, Jalan Ciragil I, Blok Q, Rawa Barat, Kebayoran Baru, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Jawa, 12180, Indonesia"
Doppio,-6.2388714,106.8093012,Kabupaten Bogor,cafe,"Doppio, Jalan Ciragil II, Blok Q, Rawa Barat, Kebayoran Baru, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Jawa, 12180, Indonesia"
J.Co,-6.30177,106.6548027,Kabupaten Bogor,cafe,"J.Co, Jalan Tol Serpong–Balaraja, BSD City, Serpong, Sampora, Cisauk, Kabupaten Tangerang, Banten, Jawa, 15345, Indonesia"
Ice Only,-6.360147,106.8165614,Kabupaten Bogor,cafe,"Ice Only, Jalan Kukusan Raya, Kukusan, Beji, Depok, Jawa Barat, Jawa, 16425, Indonesia"
Green T Cafe,-6.3653117,106.8298142,Kabupaten Bogor,cafe,"Green T Cafe, Jalan Prof. Dr. Sudjono D. Pusponegoro, Pondok Cina, Beji, Depok, Jawa Barat, Jawa, 16424, Indonesia"
Cato Coffee,-6.3653263,106.8297887,Kabupaten Bogor,coffee_shop,"Cato Coffee, Jalan Prof. Dr. Sudjono D. Pusponegoro, Pondok Cina, Beji, Depok, Jawa Barat, Jawa, 16424, Indonesia"
Al Berkah Cafe,-6.353942,106.7762701,Kabupaten Bogor,cafe,"Al Berkah Cafe, 16, Jalan Raya Limo, Limo, Depok, Jawa Barat, Jawa, 16515, Indonesia"
Cakra Cafe & Resto,-6.3627813,106.7821881,Kabupaten Bogor,cafe,"Cakra Cafe & Resto, C 10, Jalan Cakra Kencana, Limo, Depok, Jawa Barat, Jawa, 16515, Indonesia"
Tanpa Nama,-6.2133197,106.7722224,Kabupaten Bogor,cafe,"Wheel Cafe, Jalan Panjang Raya, RW 04, Kelapa Dua, Kebon Jeruk, Jakarta Barat, Daerah Khusus Ibukota Jakarta, Jawa, 11550, Indonesia"
Chatime - BINUS Syahdan,-6.2007649,106.7853278,Kabupaten Bogor,cafe,"Chatime - BINUS Syahdan, Jalan KH. Syahdan, RW 11, Palmerah, Jakarta Barat, Daerah Khusus Ibukota Jakarta, Jawa, 11480, Indonesia"
